Do you think Heads Up Display is useful?,Why do you think it is useful or why you don't like it?,Which features you have in your current vehicle(s)?,"Where would you prefer the projector to be?
A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,
B: The projector and the screen are integrated and seat at the top of the dashboard.","If there is a HUD device that also includes the top 4 features you selected above, what is your maximum acceptable price? (Price in USD, before tax)","If you would purchase the product from the previous question, would you rather:",one-part-machine vs add-on,"If you want new features on your car, what would you do?","Some features may need extra wiring throughout the car, how much extra would you like to pay to make them wireless.","If the product were priced according to your expectations and can be purchased through your desired channel,  how likely would you be to purchase the Heads UP Display (HUD)?",What is the model and year of your car?,Which city do you live in?,Which of the following best describes where you live?,What is your gender?,May I have your age range?,What is your field of occupation?,"If you don't mind, what is your annual income range?","How long do you spend on driving every day, pre-COVID-19?",A,B,C,D,E,F,G,H,I,J,Heads Up Display,Dashcam,Backup Camera,360° Backup Camera,Forward Collision Warning System,Voice Recognition,CarPlay/Android Auto,Blind Spot Check,Steering Wheel Controller,"No, I have no interest",Amazon/eBay,Canadian Tire,Costco,Bestbuy,Walmart/Target,Mr. Lube,Others(Q9),I use my car for routine transportation,I use my car to pick up/drop off my kid(s),"I like to drive around and explore new areas (e.g., restaurants)",I often use my car to go on road trips,My car is for professional use (I drive Uber or Lyft),Others(Q19)
Maybe,"If it is already on the dashboard, it seems redundant to have it twice. Although if it’s removed from the dashboard, then this could potentially be a more user friendly approach","""Built-in Navigation"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,Under $ 25 USD,I would definitely not purchase the HUD,"A4 etron 2017 (i don’t own a car, but when i drive, i use this)",Toronto,I live in a downtown area,Female,20 - 25 years old,Health Science,"$40,000 to $59,999",Less than 30 minutes per day,20,0,0,40,0,0,0,30,10,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0
Yes,"Safety reasons, keep eyes on the road","""Built-in Navigation"",""Dashcam"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,Less than USD $ 100,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,$ 25 - $ 49 USD,I might or might not purchase the HUD,Audi A4 2019,Toronto,I live in a downtown area,Male,31 - 35 years old,Finance,"$40,000 to $59,999",Less than 30 minutes per day,32,0,0,0,3,0,0,32,32,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Yes,It keeps your eyes on the road while quickly and safely providing info that's necessary. Ie speed rpm music info and possibly compass,"""Built-in Navigation"",""Dashcam"",""Backup Camera"",""Voice Recognition""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I would probably purchase the HUD,2006 Lexus is350,Stuart fl,I live in a suburb area,Male,20 - 25 years old,Auto mechanic.,"$20,000 to $39,999",30 minutes - 59 minutes per day,25,25,25,25,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0
Yes,"It's much more intuitive to look at the HUD than it is to look down at the dash or over to the media screen. Much easier to keep your eyes on the road, less distracting.","""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,More than USD $ 800,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I have all features on my current car,Above $ 100 USD,I would definitely purchase the HUD,2020 Hyundai Sonata,"Salt Lake City, Utah",I live in a downtown area,Male,20 - 25 years old,"Marketing, Sales and Service","$60,000 to $79,999",1 hour - 2 hours per day,25,25,10,40,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0
Yes,The display can provide you with useful information right in your line of sight.,"""Dashcam"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 300 - USD $ 399,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will try to get and install new features as add-ons from dealerships,$ 50 - $ 74 USD,I would probably purchase the HUD,2020 Volkswagen golf r,Toronto,I live in a suburb area,Male,younger than 20 years old,Student,Prefer not to say,30 minutes - 59 minutes per day,0,0,0,60,0,0,10,0,20,10,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0
Maybe,"it seems like it may distract from driving, but having to glance down at your speedometer might do that too","""Built-in Navigation""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,"No, I wouldn't buy it",None,None,I can buy aftermarket product and visit car body shop to install it,I'm fine if it is not messy,I would probably not purchase the HUD,2003 Honda CRV,Nisswa Minnesota,I live in a rural area,Male,younger than 20 years old,Student,"Less than $20,000",Less than 30 minutes per day,40,30,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Yes,"Navigation safer to use, more aware of current speeds - altogether less distracting than glancing down or to the side as in a Tesla model 3.","""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 600 - USD $ 699,None,None,I have all features on my current car,$ 75 - $ 100 USD,I would definitely purchase the HUD,2016 LEXUS GSF,Los Angelos,I live in a suburb area,Male,31 - 35 years old,"Science, Technology, Engineering and Mathematics","Over $100,000",1 hour - 2 hours per day,50,0,0,0,0,30,0,10,10,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
Yes,I love being able to see my speed and if lane keep assist is active without taking my eyes off the road.,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 500 - USD $ 599,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will try to get and install new features as add-ons from dealerships,I'm fine if it is not messy,I might or might not purchase the HUD,2019 Hyundai Kona,"Springfield, VA",I live in a suburb area,Male,20 - 25 years old,Student,Prefer not to say,Less than 30 minutes per day,0,20,0,40,0,20,0,0,20,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,I think it is useful because you can look at the road and see how fast you are driving.,None,B: The projector and the screen are integrated and seat at the top of the dashboard.,None,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,I'm fine if it is not messy,I might or might not purchase the HUD,"2009 Ford Fiesta, 2005 Opel Zafira","Kristiansand, Norway",I live in a rural area,Male,younger than 20 years old,"Science, Technology, Engineering and Mathematics","$40,000 to $59,999",30 minutes - 59 minutes per day,40,0,30,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0
Yes,I don't have to move my eyes off the road,"""Voice Recognition"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,$ 50 - $ 74 USD,I would definitely purchase the HUD,2010 Toyota Matrix,Charlotte,I live in a rural area,Male,younger than 20 years old,"Transportation, Distribution and Logistics","Over $100,000",30 minutes - 59 minutes per day,0,0,0,15,0,0,10,15,0,60,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,Keeps information in front of eyes,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I have all features on my current car,Above $ 100 USD,I would definitely purchase the HUD,Hyundai Palisade 2020,Toronto,I live in a suburb area,Male,31 - 35 years old,Information Techonology,"$60,000 to $79,999",30 minutes - 59 minutes per day,0,0,25,0,25,25,0,0,0,25,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0
Yes,Keeping your eyes up and forward,"""Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 400 - USD $ 499,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I don't care about wiring,I would definitely purchase the HUD,2019 Veloster N Performance Package,Laguna Niguel,SoCal Beach City,Male,41 - 45 years old,"Science, Technology, Engineering and Mathematics","Over $100,000",Longer than 2 hours per day,10,0,0,20,0,0,10,50,0,10,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Yes,"Essential info without taking your eyes off the road...

Also cool!","""Dashcam"",""CarPlay/Android Auto"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I would probably purchase the HUD,2007 Golf GTI,"Sydney, Australia",I live in a suburb area,Male,36 - 40 years old,Information Techonology,"$60,000 to $79,999",30 minutes - 59 minutes per day,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Yes,You don't have to look away from the road by looking at the speedometer below. Looks sick too,None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I would probably purchase the HUD,1994 Toyota Supra,Toronto,I live in a downtown area,Male,younger than 20 years old,Computer science,"$40,000 to $59,999",1 hour - 2 hours per day,0,0,50,10,0,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,"I don’t have to take my eyes off of the road to see my speed, it definitely makes me more conscious of my speed.","""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I have all features on my current car,$ 25 - $ 49 USD,I might or might not purchase the HUD,2013 BMW 328i,Tampa FL,I live in a suburb area,Female,20 - 25 years old,"Marketing, Sales and Service","$20,000 to $39,999",30 minutes - 59 minutes per day,10,0,0,50,0,10,0,0,30,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Yes,It doesn't interfere with the driver and let him know information he may have missed or was not available on the road.,"""Dashcam"",""Backup Camera""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and visit car body shop to install it,$ 25 - $ 49 USD,I would probably purchase the HUD,None,Medellín,I live in a downtown area,Male,20 - 25 years old,"Science, Technology, Engineering and Mathematics",Prefer not to say,1 hour - 2 hours per day,30,10,0,0,0,40,0,0,0,20,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Yes,Keeps your eyes on the road,None,B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,"I don't want any new features, cars should be kept simple",$ 25 - $ 49 USD,I would probably purchase the HUD,1979 camaro,Detroit,I live in a rural area,Male,younger than 20 years old,"Science, Technology, Engineering and Mathematics","Less than $20,000",1 hour - 2 hours per day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0
Yes,Allows access to information without shifting eyes away from objective.,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,More than USD $ 800,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I have all features on my current car,$ 75 - $ 100 USD,I would definitely purchase the HUD,2016 Audi RS7,None,I live in a suburb area,Male,31 - 35 years old,"Science, Technology, Engineering and Mathematics","Over $100,000",Less than 30 minutes per day,0,25,0,0,25,25,0,25,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Yes,More immediate view of speed and other metrics,"""Dashcam""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,$ 25 - $ 49 USD,I would probably purchase the HUD,Renault Clio 2009,"London, UK",I live in a suburb area,Male,26 -  30 years old,Information Techonology,"$20,000 to $39,999",30 minutes - 59 minutes per day,30,40,20,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Yes,"The more time you can spend with your eyes on the road, the safer your driving. Although the gauges are far from your field of vision they arent in your field of vision.","""Built-in Navigation"",""Dashcam"",""Backup Camera"",""CarPlay/Android Auto""",B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I would definitely purchase the HUD,2017 dodge ram,"Houston, texas",I live in a suburb area,Male,46 - 50 years old,Business Management and Administration,"$80,000 to $99,999",1 hour - 2 hours per day,40,40,0,0,0,0,0,0,10,10,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0
Yes,None,"""Built-in Navigation"",""Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 300 - USD $ 399,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I might or might not purchase the HUD,None,None,I live in a rural area,Male,36 - 40 years old,"Science, Technology, Engineering and Mathematics","Over $100,000",1 hour - 2 hours per day,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,Having the focal point of important information be floating near the end of the hood means that I don’t actually have to look away for the speed; it’s always somewhat in focus and visible when looking forward.,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Voice Recognition"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I have all features on my current car,I'm fine if it is not messy,I would probably not purchase the HUD,2015 Lexus RX f-sport,Edmonton,I live in a downtown area,Male,None,None,None,30 minutes - 59 minutes per day,0,0,0,50,0,20,0,30,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Yes,None,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,More than USD $ 800,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,Above $ 100 USD,I might or might not purchase the HUD,Audi RS6 2016,Zurich,I live in a rural area,Male,41 - 45 years old,Finance,"Over $100,000",Less than 30 minutes per day,30,20,0,10,20,0,0,20,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Yes,It allows you to maintain eye contact with the road while reading stats,"""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,Under $ 25 USD,I would probably purchase the HUD,05 Jeep Wrangler,"Savannah, GA",I live in a suburb area,Male,20 - 25 years old,"Marketing, Sales and Service","$20,000 to $39,999",30 minutes - 59 minutes per day,0,0,0,0,50,30,0,10,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0
Yes,It’s useful because it’s easier to read your current speed,"""Built-in Navigation"",""Heads Up Display"",""Dashcam"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,$ 25 - $ 49 USD,I might or might not purchase the HUD,VW Tiguan 2018,Munich,I live in a downtown area,Male,26 -  30 years old,Student,Prefer not to say,30 minutes - 59 minutes per day,0,10,0,0,40,20,0,10,20,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Yes,I think it is useful because it shortens the distance between info and the road. You spend more time looking at the road because there’s less eye travel time.,"""Built-in Navigation"",""Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 400 - USD $ 499,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,$ 50 - $ 74 USD,I might or might not purchase the HUD,2018 Ford Mustang,Northern California,I live in a suburb area,Female,younger than 20 years old,Student,Prefer not to say,1 hour - 2 hours per day,20,20,0,0,0,0,0,30,0,30,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0
Yes,HUDs make it easier to monitor speed while keeping eyes on the road.,"""Built-in Navigation"",""CarPlay/Android Auto""",B: The projector and the screen are integrated and seat at the top of the dashboard.,None,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I don't care about wiring,I would probably not purchase the HUD,2005 Mercury Grand Marquis,None,I live in a rural area,Male,26 -  30 years old,Boats and Boat accessories,"$40,000 to $59,999",30 minutes - 59 minutes per day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
No,Look don’t get me wrong it can be super convenient (I have it on my S5) but considering I almost always drive with Polarized sunglasses it’s useless. Also at night when I can use the heads up display I find it to be too much of a distraction.,"""Built-in Navigation"",""Heads Up Display"",""Dashcam"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,"No, I wouldn't buy it",Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,Above $ 100 USD,I would definitely not purchase the HUD,2018 S5,NYC,I live in a downtown area,Male,26 -  30 years old,Business Management and Administration,"$80,000 to $99,999",Longer than 2 hours per day,0,0,0,0,40,0,0,40,10,10,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Yes,Displays useful info in line of sight,"""Built-in Navigation"",""Heads Up Display"",""Dashcam"",""Backup Camera"",""Forward Collision Warning System"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I have all features on my current car,I'm fine if it is not messy,I would definitely not purchase the HUD,2016,Denton,I live in a suburb area,Male,51 - 55 years old,None,None,Longer than 2 hours per day,20,0,20,30,0,0,0,0,30,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
Maybe,Perhaps take time for drivers to become comfortable with a new display and cause distraction.,"""Built-in Navigation"",""Dashcam""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I might or might not purchase the HUD,Insignia 2016,Bradford,I live in a suburb area,Female,36 - 40 years old,"Science, Technology, Engineering and Mathematics","$40,000 to $59,999",30 minutes - 59 minutes per day,0,50,25,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
Yes,Helps see speed etc without taking eyes off the road?,None,B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 400 - USD $ 499,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,I'm fine if it is not messy,I would probably purchase the HUD,2002 GMC Sonoma,"Iqaluit, Nunavut",I live in a downtown area,Male,36 - 40 years old,Education and Training,"Over $100,000",Less than 30 minutes per day,0,25,25,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Maybe,Can easily become a distraction,None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 100 - USD $ 199,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,"I don't want any new features, cars should be kept simple",$ 75 - $ 100 USD,I would probably not purchase the HUD,1998,Elgin IL,I live in a suburb area,Male,younger than 20 years old,Retail employee,"Less than $20,000",Less than 30 minutes per day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Yes,Keeps my eyes on the road instead of looking down,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 300 - USD $ 399,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and install it all by myself,$ 50 - $ 74 USD,I would probably purchase the HUD,2019 Audi RS5,"MA, USA",I live in a suburb area,Male,36 - 40 years old,"Marketing, Sales and Service","Over $100,000",30 minutes - 59 minutes per day,0,0,0,0,30,0,0,50,10,10,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Yes,I've seen it in Cadillac's. I like how it keeps your eyes on the road instead of screwing the the radio etc and some have safety options for night vision.,"""Built-in Navigation"",""Dashcam"",""Backup Camera"",""Voice Recognition"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I can buy aftermarket product and visit car body shop to install it,$ 75 - $ 100 USD,I would definitely purchase the HUD,2016 Ram Rebel,Golden,I live in a rural area,Female,36 - 40 years old,Manufacturing,"$80,000 to $99,999",1 hour - 2 hours per day,25,25,0,0,0,0,0,0,25,25,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0
Yes,Keeps eyes on road,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Voice Recognition"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I have all features on my current car,$ 50 - $ 74 USD,I would probably purchase the HUD,Bmw 5gt 2010,None,I live in a suburb area,Male,31 - 35 years old,Finance,"Over $100,000",Less than 30 minutes per day,30,20,0,0,0,0,0,30,0,20,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Yes,It is a useful technology that needs perfection. Mini Cooper and BMW HUD have issues where text isn't visible with certain UV rated sun glasses.,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Voice Recognition"",""Blind Spot Check"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I might or might not purchase the HUD,2014 Mini Cooper,Scottsdale,I live in a suburb area,Male,20 - 25 years old,Information Techonology,"$40,000 to $59,999",Less than 30 minutes per day,0,0,0,30,0,10,0,0,10,50,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Maybe,"Eyes don’t have to leave the road, it is helpful depending on the information it displays",None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 600 - USD $ 699,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,$ 25 - $ 49 USD,I would probably purchase the HUD,2003 BMW 320i,Scarborough,I live in a suburb area,Male,20 - 25 years old,Student,"$20,000 to $39,999",30 minutes - 59 minutes per day,20,0,0,0,40,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
Yes,It displays useful information on your eye-level without you having to look at a dashboard.,"""Built-in Navigation"",""Dashcam"",""360° Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto"",""Steering Wheel Controller""",A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and visit car body shop to install it,I don't care about wiring,I might or might not purchase the HUD,I currently don’t drive. My family owns a Volkswagen Atlas 2019 and Subaru Legacy 2009.,Toronto,I live in a downtown area,Male,20 - 25 years old,Student,Prefer not to say,Less than 30 minutes per day,25,25,0,0,0,0,25,25,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Maybe,"Is this referring to the dashboard that is already in cars or is this an extra device. If it is an extra device, what is the difference between a speedometer and a GPS that comes in the car and does not have to be installed, secured or paid for?","""Built-in Navigation"",""Dashcam"",""Backup Camera"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,"I don't want any new features, cars should be kept simple",I'm fine if it is not messy,I would definitely not purchase the HUD,None,None,None,None,None,None,None,None,25,0,25,25,0,0,25,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
